,type,id,lat,lon,tags.name,tags.name:en,tags.opening_hours,tags.shop,tags.name:ru,tags.source,tags.phone,tags.description,tags.contact:phone,tags.comment,geometry
0,node,675766598,43.1143159,131.8938909,Людмила,Ludmila,Mo-Fr 8:00-19:00; Su 9:00-18:00,hairdresser,,,,,,,POINT (43.1143159 131.8938909)
1,node,763133583,43.1183895,131.8855456,Вереск,Veresk,,hairdresser,Вереск,,,,,,POINT (43.1183895 131.8855456)
2,node,954274803,43.1251814,131.9552414,,,,hairdresser,,,,,,,POINT (43.1251814 131.9552414)
3,node,968202587,43.1123695,131.945055,Стелла,,,hairdresser,,photography,,,,,POINT (43.1123695 131.945055)
4,node,976248780,43.1329099,131.9260672,Камильфо,Kamilfo,,hairdresser,Камильфо,photograph,,,,,POINT (43.1329099 131.9260672)
5,node,987336839,43.1060651,131.9384045,Фея,Fairy,,hairdresser,,image,,,,,POINT (43.1060651 131.9384045)
6,node,1002244030,43.1113473,131.939725,Василиса,Vasilisa,,hairdresser,,image,,,,,POINT (43.1113473 131.939725)
7,node,1003724786,43.1119587,131.9310236,,,,hairdresser,,image,,,,,POINT (43.1119587 131.9310236)
8,node,1010449352,43.112569,131.9273361,Розовый фламинго,Pink Flamingo,,hairdresser,,image,,,,,POINT (43.112569 131.9273361)
9,node,1021926908,43.114603,131.9136342,Жемчужинка,Pearl,,hairdresser,,image,,,,,POINT (43.114603 131.9136342)
10,node,1041038273,43.1689389,131.9258523,Алея,Aleya,Mo-Sa 09:00-20:00; Su 09:00-18:00,hairdresser,,image,,,,,POINT (43.1689389 131.9258523)
11,node,1041106548,43.1688141,131.9316588,Салон-парикмахерская,,Mo-Su 09:00-20:00,hairdresser,,image,345-345,,,,POINT (43.1688141 131.9316588)
12,node,1046952172,43.1695017,131.9244568,Жемчужина,pearl,,hairdresser,,,,,,,POINT (43.1695017 131.9244568)
13,node,1176986502,43.0988269,131.9359111,,,,hairdresser,,,,,,,POINT (43.0988269 131.9359111)
14,node,1180466274,43.1002014,131.9309853,,,,hairdresser,,,,,,,POINT (43.1002014 131.9309853)
15,node,1180466275,43.1004706,131.9327523,,,,hairdresser,,,,,,,POINT (43.1004706 131.9327523)
16,node,1180632034,43.0915908,131.9660183,,,,hairdresser,,,,,,,POINT (43.0915908 131.9660183)
17,node,1180632036,43.0917922,131.9656689,Яшма,,,hairdresser,,image,,Салон парикмахерская,,,POINT (43.0917922 131.9656689)
