index,id,region_id,area_id,city_id,street_id,shortname_region,formalname_region,shortname_area,formalname_area,shortname_city,formalname_city,shortname_street,formalname_street,house_number,building,block,letter,address,houseguid,management_organization_id,built_year,exploitation_start_year,project_type,house_type,is_alarm,method_of_forming_overhaul_fund,floor_count_max,floor_count_min,entrance_count,elevators_count,energy_efficiency,quarters_count,living_quarters_count,unliving_quarters_count,area_total,area_residential,area_non_residential,area_common_property,area_land,parking_square,playground,sportsground,other_beautification,foundation_type,floor_type,wall_material,basement_area,chute_type,chute_count,electrical_type,electrical_entries_count,heating_type,hot_water_type,cold_water_type,sewerage_type,sewerage_cesspools_volume,gas_type,ventilation_type,firefighting_type,drainage_type,splited_string_len,prepared_address_v1,lat,lon,raw_class,raw_type
0,6938121,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,14,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 14",b4b47ccf-cf06-e3d2-1854-d108bd4ea0ba,8922522.0,1967.0,1967.0,Отсутствует,Многоквартирный дом,Нет,На счете регионального оператора,9.0,9.0,1.0,1.0,D,54,54.0,0.0,"3625,00","2250,40","0,00","1374,60","3136,00","0,00",499,500,,Ленточный,Железобетонные,Кирпич,"386,65",На лестничной клетке,1.0,Центральное,2.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Внутренние водостоки,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 14",,,,
1,6938840,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,20,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 20",071df6b7-1487-cb26-723c-6af08a436b27,,,,,Не заполнено,Нет,Не заполнено,,,,,Не заполнено,0,,,,,,,,,498,498,,Не заполнено,Не заполнено,Не заполнено,,Не заполнено,,Центральное,,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,,Отсутствует,Не заполнено,Не заполнено,Не заполнено,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 20",,,,
2,6931694,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,22,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 22",eef7af1d-0c6e-c8f4-1c44-be9036f2e58c,7566193.0,1965.0,1965.0,II-29,Многоквартирный дом,Нет,На счете регионального оператора,9.0,0.0,1.0,1.0,Не присвоен,92,87.0,5.0,"2717,75","1754,30","252,30","711,15","2132,00","0,00",500,500,"Урны, скамейки",Сборный,Железобетонные,Кирпич,"179,50",На лестничной клетке,1.0,Центральное,2.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Внутренние водостоки,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 22",,,,
3,6933932,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,24,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 24",f442747e-cc34-6a89-3215-6322ea540607,7566193.0,1965.0,1965.0,II-20,Многоквартирный дом,Нет,На счете регионального оператора,9.0,0.0,1.0,1.0,Не присвоен,94,90.0,4.0,"2699,00","1751,30","206,40","741,30","2819,00","0,00",500,500,"Урны, скамейки",Сборный,Железобетонные,Кирпич,"179,50",На лестничной клетке,1.0,Центральное,2.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Внутренние водостоки,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 24",,,,
4,6940540,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,26,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 26",8c2c2285-5035-ee81-992e-5867f0a9fd46,7566193.0,1964.0,1964.0,,Многоквартирный дом,Нет,Не определен,5.0,0.0,0.0,0.0,Не присвоен,70,65.0,5.0,"3296,60","2519,20","852,50","421,00","0,00","0,00",500,500,"Урны, скамейки",Сборный,Железобетонные,Кирпич,"0,00",Отсутствует,0.0,Центральное,2.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Не заполнено,"0,00",Отсутствует,Приточно-вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 26",,,,
5,6689865,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,c8f49eb7-14a6-457b-a2e8-eff463128d66,край,Приморский,,,г,Владивосток,пр-кт,100-летия Владивостока,26,,,,"край. Приморский, г. Владивосток, пр-кт. 100-летия Владивостока, д. 26",2b591020-8d4c-4a51-9e42-d9ffe3498d04,8790979.0,,1964.0,,Многоквартирный дом,Нет,Не заполнено,5.0,,4.0,0.0,Не присвоен,0,,,"3774,70","2487,30","852,50",,,,498,498,,Не заполнено,Железобетонные,Кирпич,"695,00",Не заполнено,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,,Отсутствует,Не заполнено,Не заполнено,Не заполнено,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 26",,,,
6,6937038,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,28,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 28",f2c07cd6-4b58-277e-a5fb-78ebc9e352ae,7566193.0,1964.0,1964.0,1-511,Многоквартирный дом,Нет,Не определен,5.0,0.0,0.0,0.0,Не присвоен,43,40.0,3.0,"1686,90","1686,90","202,90","430,00","0,00","0,00",500,500,"Урны, скамейки",Сборный,Железобетонные,Кирпич,"0,00",Отсутствует,0.0,Центральное,2.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Отсутствует,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 28",,,,
7,6937228,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,28а,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 28а",e0852cd7-4132-a294-bcb4-e9d9d422a237,7566193.0,1964.0,1964.0,1-511,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,42,40.0,2.0,"2204,00","1725,40","45,90","432,70","1500,00","0,00",500,500,"Урны, скамейки",Сборный,Железобетонные,Кирпич,"310,70",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Внутренние водостоки,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 28а",,,,
8,6931645,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,28б,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 28б",6dc80ff7-8459-eac7-fd1f-f225c0438203,7566193.0,1963.0,1963.0,1-511,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,34,32.0,2.0,"2271,70","1438,80","397,30","435,60","1109,00","0,00",500,500,"Урны, скамейки",Ленточный,Железобетонные,Кирпич,"316,60",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 28б",,,,
9,6935383,43909681-d6e1-432d-b61f-ddac393cb5da,,7b6de6a5-86d0-4735-b11a-499081111af8,031cba93-ce6f-49cc-a792-4d32d9ec129e,край,Приморский,,,г,Владивосток,Проспект,100-летия Владивостока,28в,,,,"край. Приморский, г. Владивосток, Проспект. 100-летия Владивостока, д. 28в",d4f7e386-73a8-6b2d-1154-fcbea5707e7f,7566193.0,1963.0,1963.0,1-511,Многоквартирный дом,Нет,На счете регионального оператора,5.0,0.0,2.0,0.0,Не присвоен,33,32.0,1.0,"2210,60","1664,70","479,00","266,90","2270,00","0,00",500,500,"Урны, скамейки",Не заполнено,Не заполнено,Не заполнено,"143,90",Отсутствует,0.0,Центральное,1.0,Центральное,Открытая с отбором сетевой воды на горячее водоснабжение из тепловой сети,Центральное,Центральное,"0,00",Отсутствует,Вытяжная вентиляция,Отсутствует,Отсутствует,8.0,"край. Приморский, г. Владивосток, проспект 100-летия Владивостока 28в",,,,
